record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.BEK.S01.D.U,1D. (Uygun Ortalama) Cari Yıl Sonu Yıllık TÜFE Beklentisi (% Değişim),TP.BEK.S01.D.U,evds2,monthly,% Değişim,Semantic proposal for evds:TP.BEK.S01.D.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S01.D.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S01.E.U,1E. (Uygun Ortalama) 12 Ay Sonrasının Yıllık TÜFE Beklentisi (% Değişim),TP.BEK.S01.E.U,evds2,monthly,% Değişim,Semantic proposal for evds:TP.BEK.S01.E.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S01.E.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S01.F.U,1F. (Uygun Ortalama) 24 Ay Sonrasının Yıllık TÜFE Beklentisi (% Değişim),TP.BEK.S01.F.U,evds2,monthly,% Değişim,Semantic proposal for evds:TP.BEK.S01.F.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S01.F.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S01.I.U,1I. (Uygun Ortalama) Gelecek Yıl Sonu Yıllık TÜFE Beklentisi (% Değişim),TP.BEK.S01.I.U,evds2,monthly,% Değişim,Semantic proposal for evds:TP.BEK.S01.I.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S01.I.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S04.A.U,4A. (Uygun Ortalama) Cari Ay Sonu TCMB Bir Hafta Vadeli Repo İhale Faiz Oranı Beklentisi (%),TP.BEK.S04.A.U,evds2,monthly,%,Semantic proposal for evds:TP.BEK.S04.A.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S04.A.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S04.B.U,4B. (Uygun Ortalama) 3 Ay Sonrasının TCMB Bir Hafta Vadeli Repo İhale Faiz Oranı Beklentisi (%),TP.BEK.S04.B.U,evds2,monthly,%,Semantic proposal for evds:TP.BEK.S04.B.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S04.B.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S04.D.U,4D. (Uygun Ortalama) 12 Ay Sonrası TCMB Politika Faiz Oranı Beklentisi (%),TP.BEK.S04.D.U,evds2,monthly,%,Semantic proposal for evds:TP.BEK.S04.D.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S04.D.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S04.E.U,4E. (Uygun Ortalama) 24 Ay Sonrası TCMB Politika Faiz Oranı Beklentisi (%),TP.BEK.S04.E.U,evds2,monthly,%,Semantic proposal for evds:TP.BEK.S04.E.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S04.E.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S05.B.U,5B. (Uygun Ortalama) Cari Yıl Sonu Bankalararası Döviz Piyasası ABD Dolar Kuru Beklentisi (TL),TP.BEK.S05.B.U,evds2,monthly,TL,Semantic proposal for evds:TP.BEK.S05.B.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S05.B.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S05.C.U,5C. (Uygun Ortalama) 12 Ay Sonrasının Bankalararası Döviz Piyasası ABD Dolar Kuru Beklentisi (TL),TP.BEK.S05.C.U,evds2,monthly,TL,Semantic proposal for evds:TP.BEK.S05.C.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S05.C.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S06.A.U,6A. (Uygun Ortalama) Cari Yılın Yıllık Cari İşlemler Dengesi Beklentisi,TP.BEK.S06.A.U,evds2,monthly,Milyon ABD Doları,Semantic proposal for evds:TP.BEK.S06.A.U | Confidence: 0.8 | Catalog source: catalog:evds2:TP.BEK.S06.A.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S06.B.U,6B. (Uygun Ortalama) Gelecek Yılın Yıllık Cari İşlemler Dengesi Beklentisi,TP.BEK.S06.B.U,evds2,monthly,Milyon ABD Doları,Semantic proposal for evds:TP.BEK.S06.B.U | Confidence: 0.8 | Catalog source: catalog:evds2:TP.BEK.S06.B.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S07.A.U,7A. (Uygun Ortalama) Cari Yılın Yıllık GSYH Büyüme Beklentisi (%),TP.BEK.S07.A.U,evds2,monthly,%,Semantic proposal for evds:TP.BEK.S07.A.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S07.A.U,Inferred notebook role: commentary_driver,theme:survey-expectations
series,evds:TP.BEK.S07.B.U,7B. (Uygun Ortalama) Gelecek Yılın Yıllık GSYH Büyüme Beklentisi (%),TP.BEK.S07.B.U,evds2,monthly,%,Semantic proposal for evds:TP.BEK.S07.B.U | Confidence: 0.9 | Catalog source: catalog:evds2:TP.BEK.S07.B.U,Inferred notebook role: commentary_driver,theme:survey-expectations
