record_type,id,title,ticker,source_version,frequency,unit,description,usage,official_url,theme_ids,indicator_ids,input_ids,formula_expression,formula_description,output_frequency,output_unit,economic_meaning,validation_note,series_ids,source_dependency_ids,questions,source_kind,requiredness,source_uri,local_hint
series,evds:TP.BEK.S01.D.U,1D.(Uygun Ortalama) Cari Yıl Sonu Yıllık TÜFE Beklentisi (%),TP.BEK.S01.D.U,evds2,monthly,%,Resmi seri adi: 1D.(Uygun Ortalama) Cari Yıl Sonu Yıllık TÜFE Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,derived:policy-rate-expectation-current,,,,,,,,,,,,,,
series,evds:TP.BEK.S01.E.U,1E.(Uygun Ortalama) 12 Ay Sonrasının Yıllık TÜFE Beklentisi (%),TP.BEK.S01.E.U,evds2,monthly,%,Resmi seri adi: 1E.(Uygun Ortalama) 12 Ay Sonrasının Yıllık TÜFE Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,derived:policy-rate-expectation-3m,,,,,,,,,,,,,,
series,evds:TP.BEK.S01.F.U,1F.(Uygun Ortalama) 24 Ay Sonrasının Yıllık TÜFE Beklentisi (%),TP.BEK.S01.F.U,evds2,monthly,%,Resmi seri adi: 1F.(Uygun Ortalama) 24 Ay Sonrasının Yıllık TÜFE Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,derived:policy-rate-expectation-12m,,,,,,,,,,,,,,
series,evds:TP.BEK.S01.I.U,1I.(Uygun Ortalama) Gelecek Yıl Sonu Yıllık TÜFE Beklentisi (%),TP.BEK.S01.I.U,evds2,monthly,%,Resmi seri adi: 1I.(Uygun Ortalama) Gelecek Yıl Sonu Yıllık TÜFE Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,,,,,,,,,,,,,,,
series,evds:TP.BEK.S04.A.U,4A.(Uygun Ortalama) Cari Ay Sonu TCMB Bir Hafta Vadeli Repo İhale Faiz Oranı Beklentisi (%),TP.BEK.S04.A.U,evds2,monthly,%,Resmi seri adi: 4A.(Uygun Ortalama) Cari Ay Sonu TCMB Bir Hafta Vadeli Repo İhale Faiz Oranı Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,derived:inflation-expectation-12m,,,,,,,,,,,,,,
series,evds:TP.BEK.S04.B.U,4B.(Uygun Ortalama) 3 Ay Sonrasının TCMB Bir Hafta Vadeli Repo İhale Faiz Oranı Beklentisi (%),TP.BEK.S04.B.U,evds2,monthly,%,Resmi seri adi: 4B.(Uygun Ortalama) 3 Ay Sonrasının TCMB Bir Hafta Vadeli Repo İhale Faiz Oranı Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,derived:inflation-expectation-24m,,,,,,,,,,,,,,
series,evds:TP.BEK.S04.D.U,4D.(Uygun Ortalama) 12 Ay Sonrası TCMB Politika Faiz Oranı Beklentisi (%),TP.BEK.S04.D.U,evds2,monthly,%,Resmi seri adi: 4D.(Uygun Ortalama) 12 Ay Sonrası TCMB Politika Faiz Oranı Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,,,,,,,,,,,,,,,
series,evds:TP.BEK.S04.E.U,4E.(Uygun Ortalama) 24 Ay Sonrası TCMB Politika Faiz Oranı Beklentisi (%),TP.BEK.S04.E.U,evds2,monthly,%,Resmi seri adi: 4E.(Uygun Ortalama) 24 Ay Sonrası TCMB Politika Faiz Oranı Beklentisi (%) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,,,,,,,,,,,,,,,
series,evds:TP.BEK.S05.B.U,5B.(Uygun Ortalama) Cari Yıl Sonu Bankalararası Döviz Piyasası ABD Dolar Kuru Beklentisi (TL),TP.BEK.S05.B.U,evds2,monthly,TL,Resmi seri adi: 5B.(Uygun Ortalama) Cari Yıl Sonu Bankalararası Döviz Piyasası ABD Dolar Kuru Beklentisi (TL) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,derived:growth-expectation,,,,,,,,,,,,,,
series,evds:TP.BEK.S05.C.U,5C.(Uygun Ortalama) 12 Ay Sonrasının Bankalararası Döviz Piyasası ABD Dolar Kuru Beklentisi (TL),TP.BEK.S05.C.U,evds2,monthly,TL,Resmi seri adi: 5C.(Uygun Ortalama) 12 Ay Sonrasının Bankalararası Döviz Piyasası ABD Dolar Kuru Beklentisi (TL) | Durum: derived_input,Notebook rolu: commentary_driver,,theme:survey-expectations,,,,,,,,,,,,,,,
