record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.HPBITABLO4.1,1.TOPLAM YP MEVDUAT,TP.HPBITABLO4.1,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.1 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.1,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.HPBITABLO4.7,1.1.1.d.Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı,TP.HPBITABLO4.7,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.7 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.7,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.HPBITABLO4.12,1.1.2.d.Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı,TP.HPBITABLO4.12,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.12 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.12,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.HPBITABLO4.16,1.3.Yurt Dışı Yerleşikler,TP.HPBITABLO4.16,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.16 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.16,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.HPBITABLO4.20,1.3.4.Kıymetli Maden Depo Hesapları - ABD Doları Karşılığı,TP.HPBITABLO4.20,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.20 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.20,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.HPBITABLO4.21,1.4.Yurt Dışı Yerleşik Bankalar,TP.HPBITABLO4.21,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO4.21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO4.21,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.AB.N06,2A Net Uluslararası Rezervler (1+2+3),TP.AB.N06,evds2,weekly,TL,Semantic proposal for evds:TP.AB.N06 | Confidence: 0.85 | Catalog source: catalog:evds2:TP.AB.N06,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.AB.TOPLAM,Toplam (Milyon ABD Doları),TP.AB.TOPLAM,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.AB.TOPLAM | Confidence: 0.9 | Catalog source: catalog:evds2:TP.AB.TOPLAM,Inferred notebook role: balance_sheet_line,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B01,1.Türkiye Brüt Dış Borç Stoku,TP.DB.B01,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B01 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.DB.B01,Inferred notebook role: stock_total,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
series,evds:TP.DB.B02,2.Kısa Vadelİ Borçlar (Borçluya Göre),TP.DB.B02,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DB.B02 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.DB.B02,Inferred notebook role: stock_total,theme:apko-summary|theme:external-financing|theme:banking-balance-sheet|theme:reserves-and-liquidity
