record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.HPBITABLO1.19,3.1.Repo,TP.HPBITABLO1.19,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO1.19 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO1.19,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO1.20,3.2.Para Piyasası Fonları,TP.HPBITABLO1.20,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO1.20 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO1.20,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO1.21,3.3.İhraç Edilen Menkul Kıymetler,TP.HPBITABLO1.21,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO1.21 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO1.21,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.2,1.1.Yurt İçi Yerleşikler,TP.HPBITABLO2.2,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.2 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.HPBITABLO2.2,Inferred notebook role: stock_total,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.3,1.1.1.TL,TP.HPBITABLO2.3,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.3,Inferred notebook role: stock_total,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.4,1.1.1.a.Gerçek Kişiler,TP.HPBITABLO2.4,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.4 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.4,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.5,1.1.1.b.Tüzel Kişiler,TP.HPBITABLO2.5,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.5,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.6,1.1.2.YP,TP.HPBITABLO2.6,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.6 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.6,Inferred notebook role: stock_total,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.7,1.1.2.a.Gerçek Kişiler,TP.HPBITABLO2.7,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.7 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.7,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.8,1.1.2.b.Tüzel Kişiler,TP.HPBITABLO2.8,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.8 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.8,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
series,evds:TP.HPBITABLO2.13,1.2.Yurt İçi Yerleşik Bankalar,TP.HPBITABLO2.13,evds2,weekly,bin TL,Semantic proposal for evds:TP.HPBITABLO2.13 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO2.13,Inferred notebook role: balance_sheet_line,theme:resident-financial-assets|theme:resident-securities|theme:resident-deposits
