record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.AB.A02,A.1 DIŞ VARLIKLAR,TP.AB.A02,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A02 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.AB.A02,Inferred notebook role: balance_sheet_line,theme:reserves|theme:net-reserve-estimate
series,evds:TP.AB.A10,P.1 TOPLAM DÖVİZ YÜKÜMLÜLÜKLERİ,TP.AB.A10,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A10 | Confidence: 0.85 | Catalog source: catalog:evds2:TP.AB.A10,Inferred notebook role: stock_total,theme:reserves|theme:net-reserve-estimate
series,evds:TP.AB.A11,P.1a Dış Yükümlülükler,TP.AB.A11,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A11 | Confidence: 0.85 | Catalog source: catalog:evds2:TP.AB.A11,Inferred notebook role: balance_sheet_line,theme:reserves|theme:net-reserve-estimate
series,evds:TP.AB.A13,P.1ba Kamu ve Diğer Döviz Mevduatı,TP.AB.A13,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A13 | Confidence: 0.85 | Catalog source: catalog:evds2:TP.AB.A13,Inferred notebook role: balance_sheet_line,theme:reserves|theme:net-reserve-estimate
series,evds:TP.AB.A14,P.1bb Bankalar Döviz Mevduatı,TP.AB.A14,evds2,i̇ş günü,Bin TL,Semantic proposal for evds:TP.AB.A14 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.AB.A14,Inferred notebook role: balance_sheet_line,theme:reserves|theme:net-reserve-estimate
series,evds:TP.AB.C1,Altın (Milyon ABD Doları),TP.AB.C1,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.AB.C1 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.AB.C1,Inferred notebook role: balance_sheet_line,theme:reserves|theme:net-reserve-estimate
series,evds:TP.AB.C2,Döviz (Milyon ABD Doları),TP.AB.C2,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.AB.C2 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.AB.C2,Inferred notebook role: balance_sheet_line,theme:reserves|theme:net-reserve-estimate
series,evds:TP.AB.N06,2A Net Uluslararası Rezervler (1+2+3),TP.AB.N06,evds2,weekly,Bin TL,Semantic proposal for evds:TP.AB.N06 | Confidence: 0.95 | Catalog source: catalog:evds2:TP.AB.N06,Inferred notebook role: balance_sheet_line,theme:reserves|theme:net-reserve-estimate
series,evds:TP.DK.USD.A.YTL,(USD)  ABD  Doları  (Döviz  Alış),TP.DK.USD.A.YTL,evds2,daily,Türk lirası,Semantic proposal for evds:TP.DK.USD.A.YTL | Confidence: 0.95 | Catalog source: catalog:evds2:TP.DK.USD.A.YTL,Inferred notebook role: ratio_input,theme:reserves|theme:net-reserve-estimate
series,evds:TP.DOVVARNC.K18,2.2.1.3.Dört Ay Bir Yıl Arası,TP.DOVVARNC.K18,evds2,monthly,milyon ABD doları,Semantic proposal for evds:TP.DOVVARNC.K18 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.DOVVARNC.K18,Inferred notebook role: dormant_candidate,theme:reserves|theme:net-reserve-estimate
