record_type,id,title,ticker,source_version,frequency,unit,description,usage,theme_ids
series,evds:TP.HPBITABLO5.1,1.Parite Etkisinden Arındırılmış Değişim (Yurt İçi Yerleşikler),TP.HPBITABLO5.1,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.1 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.1,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.2,1.1.Gerçek Kişiler,TP.HPBITABLO5.2,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.2 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.2,Inferred notebook role: owner_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.3,1.1.1.ABD Doları Cinsi Mevduat,TP.HPBITABLO5.3,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.3 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.3,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.4,1.1.2.Euro Cinsi Mevduat,TP.HPBITABLO5.4,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.4 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.4,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.5,1.1.3.Diğer Para Cinsi Mevduat,TP.HPBITABLO5.5,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.5 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.5,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.6,1.1.4.Kıymetli Maden Depo Hesapları,TP.HPBITABLO5.6,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.6 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.6,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.7,1.2.Tüzel Kişiler,TP.HPBITABLO5.7,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.7 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.7,Inferred notebook role: owner_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.8,1.2.1.ABD Doları Cinsi Mevduat,TP.HPBITABLO5.8,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.8 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.8,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.9,1.2.2.Euro Cinsi Mevduat,TP.HPBITABLO5.9,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.9 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.9,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
series,evds:TP.HPBITABLO5.10,1.2.3.Diğer Para Cinsi Mevduat,TP.HPBITABLO5.10,evds2,weekly,milyon ABD doları,Semantic proposal for evds:TP.HPBITABLO5.10 | Confidence: 0.9 | Catalog source: catalog:evds2:TP.HPBITABLO5.10,Inferred notebook role: currency_split_line,theme:portfolio-flows|theme:foreign-ownership|theme:swap-and-securities
